university,year,rank_display,score,country,city,region,type,research_output,student_faculty_ratio,international_students,size,faculty_count
"University of California, Davis",2017,85,65.8,United States,Davis,North America,Public,Very High,10.0,8414,XL,3420
University of Southampton,2017,87,65.6,United Kingdom,Southampton,Europe,Public,Very High,9.0,8417,L,2468
The Ohio State University,2017,88,65.4,United States,Columbus,North America,Public,Very High,9.0,7029,XL,6388
Boston University,2017,89,65.2,United States,Boston,North America,Private,Very High,10.0,8159,L,2642
Rice University,2017,90,65.0,United States,Houston,North America,Private,Very High,7.0,2278,M,996
University of Helsinki,2017,91,64.7,Finland,Helsinki,Europe,Public,Very High,8.0,1254,L,2855
Purdue University,2017,92,64.5,United States,West Lafayette,North America,Public,Very High,15.0,8034,XL,2622
University of Leeds,2017,93,64.2,United Kingdom,Leeds,Europe,Public,Very High,10.0,11584,XL,3593
University of Alberta,2017,94,64.0,Canada,Edmonton,North America,Public,Very High,9.0,9689,XL,3645
Pennsylvania State University,2017,95,63.6,United States,University Park,North America,Public,Very High,11.0,6943,XL,4207
University of Geneva,2017,95,63.6,Switzerland,Geneva,Europe,Public,Very High,9.0,6547,L,1814
KTH Royal Institute of Technology ,2017,97,63.1,Sweden,Stockholm,Europe,Public,Very High,8.0,3057,L,3600
Uppsala University,2017,98,62.8,Sweden,Uppsala,Europe,Public,Very High,10.0,8401,L,2843
Korea University,2017,98,62.8,South Korea,Seoul,Asia,Private,Very High,6.0,3325,L,4026
"Trinity College Dublin, The University of Dublin",2017,98,62.8,Ireland,Dublin,Europe,Public,Very High,12.0,5593,L,1383
